feature.name,database.ID,database,database.version,original,source,mapping,target
MX1,NM_001144925,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001144925,RefSeq,4599,Wg
NFKB1,NM_001165412,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001165412,RefSeq,ENSG00000109320,En
NUP98,NM_001365125,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001365125,RefSeq,ENSG00000110713,En
PF4,NM_001363352,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001363352,RefSeq,ENSG00000163737,En
PPBP,NM_002704,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002704,RefSeq,ENSG00000163736,En
RAE1,NM_001015885,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001015885,RefSeq,ENSG00000101146,En
RIPK1,NM_001317061,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001317061,RefSeq,ENSG00000137275,En
SMAD3,NM_001145102,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001145102,RefSeq,ENSG00000166949,En
STAT1,NM_007315,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_007315,RefSeq,ENSG00000115415,En
STAT2,NM_005419,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_005419,RefSeq,ENSG00000170581,En
TANK,NM_001199135,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001199135,RefSeq,ENSG00000136560,En
TBK1,NM_013254,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_013254,RefSeq,ENSG00000183735,En
TFAP2A,NM_001032280,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001032280,RefSeq,ENSG00000137203,En
TGFB1,NM_000660,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000660,RefSeq,ENSG00000105329,En
TLR7,NM_016562,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_016562,RefSeq,ENSG00000196664,En
TP53I3,NM_001206802,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001206802,RefSeq,ENSG00000115129,En
TRADD,NM_001323552,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001323552,RefSeq,ENSG00000102871,En
TRAF2,NM_021138,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_021138,RefSeq,ENSG00000127191,En
TRAF3,NM_001199427,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001199427,RefSeq,ENSG00000131323,En
TRAF5,NM_001033910,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001033910,RefSeq,ENSG00000082512,En
TRAF6,NM_004620,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_004620,RefSeq,ENSG00000175104,En
TRIM25,NM_005082,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_005082,RefSeq,ENSG00000121060,En
