"","accession","charge","formula","inchi","inchikey","kegg.compound.id","molecular.mass","monoisotopic.mass","name","n.stars","smiles","chebi.id","query","HMDB","complete.match.noncasesensitive","complete.match.casesensitive","complete.match.firstentry","match.score","annotation.score"
"11",132960,NA,NA,NA,NA,NA,NA,NA,"3-phosphoglycerate;2-hydroxy-3-(phosphonooxy)propanoic acid anion;2-hydroxy-3-(phosphonooxy)propanoic acid anions;3-phosphoglycerate anion;3-phosphoglycerate anions;3-phosphoglycerates;3-phosphoglyceric acid anion;3-phosphoglyceric acid anions",3,NA,132960,"3-phosphoglycerate",NA,TRUE,TRUE,TRUE,4,0
"12",29747,-1,"C24H39O5","InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/p-1/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1","BHQCQFFYRZLCQQ-OELDTZBJSA-M",NA,407.56346,407.2803,"cholate;3alpha,7alpha,12alpha-trihydroxy-5beta-cholanate",3,"[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC([O-])=O",29747,"cholate",NA,TRUE,TRUE,TRUE,4,0
"13",48999,-1,"C8H7O3","InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)/p-1","XQXPVVBIMDBYFF-UHFFFAOYSA-M",NA,151.13938,151.04007,"4-hydroxyphenylacetate;(p-hydroxyphenyl)acetate;2-(4-hydroxyphenyl)ethanoate;4-hydroxybenzeneacetate",3,"Oc1ccc(CC([O-])=O)cc1",48999,"4-hydroxyphenylacetate",NA,TRUE,TRUE,TRUE,4,0
"14",27468,0,"C5H8N2O2","InChI=1S/C5H8N2O2/c1-3-2-6-5(9)7-4(3)8/h3H,2H2,1H3,(H2,6,7,8,9)","NBAKTGXDIBVZOO-UHFFFAOYSA-N","C00906",128.1293,128.05858,"5,6-dihydrothymine;5,6-Dihydro-5-methyluracil;5-Methyl-5,6-dihydrouracil;Dihydrothymine",3,"CC1CNC(=O)NC1=O",27468,"5,6-dihydrothymine","HMDB00079;HMDB0000079",TRUE,TRUE,TRUE,4,6
"15",17368,0,"C5H4N4O","InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C00262",136.11162,136.03851,"hypoxanthine;6(1H)-purinone;6-oxopurine;9H-purin-6(1H)-one;Hyp;purin-6(1H)-one;Purine-6-ol",3,"O=c1[nH]cnc2nc[nH]c12",17368,"hypoxanthine","HMDB0000157;HMDB00157",TRUE,TRUE,TRUE,4,6
"16",72663,0,"C18H34O4","InChI=1S/C18H34O4/c1-2-3-4-5-7-10-13-16(19)17(20)14-11-8-6-9-12-15-18(21)22/h7,10,16-17,19-20H,2-6,8-9,11-15H2,1H3,(H,21,22)/b10-7-","XEBKSQSGNGRGDW-YFHOEESVSA-N","C14828",314.4602,314.24571,"9,10-DiHOME;(12Z)-9,10-Dihydroxyoctadec-12-enoic acid;9,10-DHOA;9,10-DHOME;9,10-dihydroxy-12Z-octadecenoic acid;9,10-Hydroxyoctadec-12(Z)-enoic acid;Leukotoxin diol",3,"CCCCC\C=C/CC(O)C(O)CCCCCCCC(O)=O",72663,"9,10-DiHOME","HMDB04704",TRUE,TRUE,TRUE,2,6
"17",30245,-1,"C18H31O2","InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/p-1/b7-6-,10-9-","OYHQOLUKZRVURQ-HZJYTTRNSA-M","C01595",279.43754,279.23295,"linoleate;(9Z,12Z)-9,12-octadecadienoic acid, ion(1-);(9Z,12Z)-octadecadienoate;(Z,Z)-9,12-octadecadienoic acid, ion(1-);cis,cis-9,12-octadecadienoate;cis,cis-linoleate;cis-Delta(9,12)-octadecadienoate;linoleic acid, ion(1-)",3,"CCCCC\C=C/C\C=C/CCCCCCCC([O-])=O",30245,"linoleate (18:2n6)","HMDB0000673;HMDB00673",FALSE,FALSE,FALSE,0.5,6
"18",132942,NA,NA,NA,NA,NA,NA,NA,"quinolinate;quinolinate anion;quinolinic acid anion",3,NA,132942,"quinolinate",NA,TRUE,TRUE,TRUE,4,0
"19",17768,0,"C6H14N2O","InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW-UHFFFAOYSA-N","C02714",130.18824,130.11061,"N-acetylputrescine",3,"CC(=O)NCCCCN",17768,"N-acetylputrescine","HMDB02064;HMDB0002064",TRUE,TRUE,TRUE,2,6
"20",16552,0,"C6H11NO3S","InChI=1S/C6H11NO3S/c1-11-3-2-5(6(9)10)7-4-8/h4-5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m0/s1","PYUSHNKNPOHWEZ-YFKPBYRVSA-N","C03145",177.22248,177.04596,"N-formyl-L-methionine;(2S)-2-(formylamino)-4-(methylthio)butanoic acid;Formyl-methionine;N-formylmethionine",3,"[H]C(=O)N[C@@H](CCSC)C(O)=O",16552,"N-formylmethionine","HMDB0001015;HMDB01015",TRUE,TRUE,FALSE,1,6
"21",16680,0,"C14H20N6O5S","InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1","ZJUKTBDSGOFHSH-WFMPWKQPSA-N","C00021",384.41204,384.12159,"S-adenosyl-L-homocysteine;(2S)-2-amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}sulfanyl)butanoic acid;2-S-adenosyl-L-homocysteine;Adenosyl-L-homocysteine;adenosylhomocysteine;AdoHcy;S-(5'-adenosyl)-L-homocysteine;S-[1-(adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl]-L-homocysteine;S-Adenosylhomocysteine;SAH",3,"N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O",16680,"S-adenosylhomocysteine (SAH)","HMDB00939;HMDB0000939",FALSE,FALSE,FALSE,0.5,6
"22",17489,0,"C10H12N5O6P","InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1","IVOMOUWHDPKRLL-KQYNXXCUSA-N","C00575",329.20614,329.05252,"3',5'-cyclic AMP;adenosine 3',5'-cyclic monophosphate;Adenosine 3',5'-cyclic phosphate;Adenosine 3',5'-phosphate;ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE;cAMP;Cyclic adenylic acid;Cyclic AMP",3,"Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O",17489,"adenosine 3',5'-cyclic monophosphate (cAMP)","HMDB0000058;HMDB00058",FALSE,FALSE,FALSE,0.5,6
"23",16027,0,"C10H14N5O7P","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","UDMBCSSLTHHNCD-KQYNXXCUSA-N","C00020",347.2212,347.06308,"adenosine 5'-monophosphate;5'-Adenosine monophosphate;5'-Adenylic acid;5'-AMP;5'-O-phosphonoadenosine;adenosine 5'-(dihydrogen phosphate);Adenosine 5'-phosphate;ADENOSINE MONOPHOSPHATE;adenosine phosphate;Adenosine-5'-monophosphoric acid;adenosine-5'P;adenosini phosphas;Adenylate;Adenylic acid;Ado5'P;AMP;fosfato de adenosina;pA;PAdo;phosphate d'adenosine",3,"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O",16027,"adenosine 5'-monophosphate (AMP)","HMDB0000045;HMDB00045",FALSE,FALSE,FALSE,0.5,6
"24",17509,0,"C11H15N5O3S","InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1","WUUGFSXJNOTRMR-IOSLPCCCSA-N","C00170",297.3347,297.08956,"5'-S-methyl-5'-thioadenosine;5'-Deoxy-5'-(methylthio)adenosine;5'-Methylthioadenosine;5-Methylthioadenosine;9-(5-S-methyl-5-thio-beta-D-ribofuranosyl)-9H-purin-6-amine;Methylthioadenosine;MTA;S-Methyl-5'-thioadenosine;Thiomethyladenosine",3,"CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12",17509,"5-methylthioadenosine (MTA)","HMDB01173;HMDB0001173",FALSE,FALSE,FALSE,0.5,6
"25",32395,-1,"C20H31O2","InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/p-1/b7-6-,10-9-,13-12-,16-15-","YZXBAPSDXZZRGB-DOFZRALJSA-M",NA,303.45894,303.23295,"arachidonate;(20:4n6);(5Z,8Z,11Z,14Z)-eicosatetraenoate",3,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC([O-])=O",32395,"arachidonate (20:4n6)",NA,FALSE,FALSE,FALSE,0.5,0
"26",29016,0,"C6H14N4O2","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN-UHFFFAOYSA-N","C02385",174.20112,174.11168,"arginine;2-amino-5-(carbamimidamido)pentanoic acid;2-amino-5-guanidinopentanoic acid;2-Amino-5-guanidinovaleric acid;Arginin;Harg",3,"NC(CCCNC(N)=N)C(O)=O",29016,"arginine",NA,TRUE,TRUE,TRUE,4,3
"27",62423,-1,"C8H7O3","InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)/p-1","CCVYRRGZDBSHFU-UHFFFAOYSA-M",NA,151.1394,151.04007,"(2-hydroxyphenyl)acetate;2-hydroxybenzeneacetic acid (1-);2-hydroxyphenylacetate;o-hydroxyphenylacetate",3,"Oc1ccccc1CC([O-])=O",62423,"2-hydroxyphenylacetate",NA,TRUE,TRUE,FALSE,2,0
"28",36659,-1,"C9H9O4","InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)/p-1","JVGVDSSUAVXRDY-UHFFFAOYSA-M","C03672",181.1654,181.05063,"3-(4-hydroxyphenyl)lactate;2-Hydroxy-3-(4-hydroxyphenyl)propanoate;4-Hydroxyphenyllactate;p-Hydroxyphenyllactate",3,"OC(Cc1ccc(O)cc1)C([O-])=O",36659,"3-(4-hydroxyphenyl)lactate","HMDB0000755;HMDB00755",TRUE,TRUE,TRUE,4,6
"29",26008,NA,NA,NA,NA,NA,NA,NA,"phenylpyruvate;phenylpyruvates",3,NA,26008,"phenylpyruvate",NA,TRUE,TRUE,TRUE,4,0
"30",16958,0,"C3H7NO2","InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)","UCMIRNVEIXFBKS-UHFFFAOYSA-N","C00099",89.09322,89.04768,"beta-alanine;3-aminopropanoic acid;3-Aminopropionic acid;bAla;beta-aminopropionic acid;H-beta-Ala-OH;omega-aminopropionic acid",3,"NCCC(O)=O",16958,"beta-alanine","HMDB0000056;HMDB00056",TRUE,TRUE,TRUE,4,6
"31",15727,0,"C9H14N4O3","InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C00386",226.236,226.10659,"carnosine;(2S)-2-(3-aminopropanamido)-3-(1H-imidazol-4-yl)propanoic acid;beta-alanyl-L-histidine;ignotine;Karnozin;Karnozzn;L-carnosine;N-(3-aminopropanoyl)-L-histidine;N-2-M;N-beta-alanyl-L-histidine;Nalpha-(beta-alanyl)-L-histidine",3,"NCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O",15727,"carnosine","HMDB0000033;HMDB00033",TRUE,TRUE,TRUE,4,6
"32",17033,0,"C33H34N4O6","InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,35H,1-2,9-12H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-,28-15-","QBUVFDKTZJNUPP-BBROENKCSA-N","C00500",582.64642,582.24783,"biliverdin;8,12-bis(2-carboxyethyl)-2,7,13,17-tetramethyl-3,18-divinylbilin-1(19)(21H,24H)-dione;Biliverdin IX alpha;Biliverdin IXalpha;Biliverdine;BILIVERDINE IX ALPHA",3,"CC1=C(CCC(O)=O)\C(/N=C1/C=C1NC(=O)C(C=C)=C/1C)=C\c1[nH]c(\C=C2NC(=O)C(C)=C/2C=C)c(C)c1CCC(O)=O",17033,"biliverdin","HMDB0001008;HMDB01008",TRUE,TRUE,TRUE,4,6
"33",26806,NA,NA,NA,NA,NA,NA,NA,"succinate;succinate anion;succinates;succinic acid anion",3,NA,26806,"succinate",NA,TRUE,TRUE,TRUE,4,0
"34",37054,-1,"C4H7O3","InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1","WHBMMWSBFZVSSR-UHFFFAOYSA-M",NA,103.09658,103.04007,"3-hydroxybutyrate;3-OH butyrate;3-OH-butyrate;beta-hydroxy-n-butyrate;beta-hydroxybutanoate;DL-3-hydroxybutyrate",3,"CC(O)CC([O-])=O",37054,"3-hydroxybutyrate (BHBA)",NA,FALSE,FALSE,FALSE,0.5,0
"35",16113,0,"C27H46O","InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1","HVYWMOMLDIMFJA-DPAQBDIFSA-N","C00187",386.655,386.35487,"cholesterol;(3beta,14beta,17alpha)-cholest-5-en-3-ol;Cholest-5-en-3beta-ol;Cholesterin",3,"C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",16113,"cholesterol","HMDB0000067;HMDB00067",TRUE,TRUE,TRUE,4,6
"36",295975,-1,"C5H13NO4P","InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p-1","YHHSONZFOIEMCP-UHFFFAOYSA-M",NA,182.1348,182.05877,"choline phosphate(1-);2-(trimethylammonio)ethyl phosphate;phosphocholine",3,"C[N+](C)(C)CCOP([O-])([O-])=O",295975,"choline phosphate",NA,FALSE,FALSE,FALSE,0.5,0
"37",16827,0,"C21H30O4","InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3/t14-,15-,16+,17-,19+,20-,21-/m0/s1","OMFXVFTZEKFJBZ-HJTSIMOOSA-N","C02140",346.4605,346.21441,"corticosterone;(11beta)-11,21-dihydroxypregn-4-ene-3,20-dione;11beta,21-Dihydroxy-4-pregnene-3,20-dione;11beta,21-dihydroxyprogesterone;17-deoxycortisol;Kendall's compound B;Reichstein's substance H",3,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@H](O)C[C@]12C)C(=O)CO",16827,"corticosterone","HMDB0001547;HMDB01547",TRUE,TRUE,TRUE,4,6
"38",16962,0,"C21H28O5","InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-15,18,22,26H,3-8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1","MFYSYFVPBJMHGN-ZPOLXVRWSA-N","C00762",360.44402,360.19367,"cortisone;11-dehydro-17-hydroxycorticosterone;17-hydroxy-11-dehydrocorticosterone;17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione;4-pregnene-17alpha,21-diol-3,11,20-trione;Cortison;Delta(4)-pregnene-17alpha,21-diol-3,11,20-trione;Kendall's compound E;Kortison;pregn-4-en-17alpha,21-diol-3,11,20-trione;Reichstein's substance Fa;Wintersteiner's compound F",3,"[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])C(=O)C[C@@]1(C)[C@@]2([H])CC[C@]1(O)C(=O)CO",16962,"cortisone","HMDB02802;HMDB0002802",TRUE,TRUE,TRUE,4,6
"39",16737,0,"C4H7N3O","InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)","DDRJAANPRJIHGJ-UHFFFAOYSA-N","C00791",113.118,113.05891,"creatinine;1-methylglycocyamidine;1-Methylhydantoin-2-imide;2-amino-1,5-dihydro-1-methyl-4H-Imidazol-4-one;2-Amino-1-methylimidazolin-4-one;Creatine anhydride;creatinina;Kreatinin",3,"CN1CC(=O)NC1=N",16737,"creatinine","HMDB0000562;HMDB00562",TRUE,TRUE,TRUE,4,6
"40",4047,0,"C5H10N2O3S","InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1","ZUKPVRWZDMRIEO-VKHMYHEASA-N","C01419",178.21058,178.04121,"L-cysteinylglycine;CG;Cys-Gly;Cysteinylglycine;N-L-cysteinylglycine",3,"N[C@@H](CS)C(=O)NCC(O)=O",4047,"cysteinylglycine","HMDB0000078;HMDB00078",TRUE,FALSE,FALSE,2,6
"41",17376,0,"C6H12N2O4S2","InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)","LEVWYRKDKASIDU-UHFFFAOYSA-N","C01420",240.30256,240.02385,"cystine;3,3'-dithiobis(2-aminopropanoic acid);alpha-Diamino-beta-dithiolactic acid;cistina;Cystin;Dicysteine;Zystin",3,"NC(CSSCC(N)C(O)=O)C(O)=O",17376,"cystine",NA,TRUE,TRUE,TRUE,4,3
"42",16393,0,"C18H37NO2","InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h14-15,17-18,20-21H,2-13,16,19H2,1H3/b15-14+/t17-,18+/m0/s1","WWUZIQQURGPMPG-KRWOKUGFSA-N","C00319",299.4919,299.28243,"sphingosine;(2S,3R)-(E)-2-amino-1,3-dihydroxy-4-octadecene;(2S,3R,4E)-2-amino-3-hydroxyoctadec-4-ene-1-ol;(2S,3R,4E)-2-amino-4-octadecene-1,3-diol;(2S,3R,E)-2-aminooctadec-4-ene-1,3-diol;(4E)-sphing-4-enine;(4E)-sphingenine;(E)-2-amino-4-octadecan-1,3-diol;(E)-D-erythro-4-octadecene-1,3-diol;2-amino-4-octadecene-1,3-diol;C18 sphingosine;D-(+)-erythro-1,3-dihydroxy-2-amino-4-trans-octadecene;D-erythro-sphingosine;Sph;Sphing-4-enine;Sphingenine;Sphingoid;sphingosin;Sphingosine d18:1;trans-4-sphingenine;trans-D-erythro-2-amino-4-octadecene-1,3-diol",3,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO",16393,"sphingosine","HMDB00252;HMDB0000252",TRUE,TRUE,TRUE,4,6
"43",23614,-1,"C24H39O4","InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/p-1/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1","KXGVEGMKQFWNSR-LLQZFEROSA-M",NA,391.56406,391.28538,"deoxycholate;3alpha,12alpha-dihydroxy-5beta-cholanate;Desoxycholat",3,"[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC([O-])=O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2",23614,"deoxycholate",NA,TRUE,TRUE,TRUE,4,0
"44",17755,0,"C7H14N2O4S","InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","ILRYLPWNYFXEMH-UHFFFAOYSA-N","C00542",222.26314,222.06743,"cystathionine;cystathione;DL-Cystathionine",3,"NC(CCSCC(N)C(O)=O)C(O)=O",17755,"cystathionine","HMDB0033142;HMDB33142",TRUE,TRUE,TRUE,4,6
